cod_istat,cod_zona,comune
"001305","E046","VILLAR FOCCHIARDO"
"001022","E047","BARDONECCHIA"
"001074","E047","CESANA TORINESE"
"001080","E047","CHIOMONTE"
"001087","E047","CLAVIERE"
"001100","E047","EXILLES"
"001114","E047","GIAGLIONE"
"001117","E047","GRAVERE"
"001147","E047","MATTIE"
"001149","E047","MEANA DI SUSA"
"001154","E047","MOMPANTERO"
"001157","E047","MONCENISIO"
"001169","E047","NOVALESA"
"001175","E047","OULX"
"001232","E047","SALBERTRAND"
"001258","E047","SAUZE DI CESANA"
"001259","E047","SAUZE D OULX"
"001263","E047","SESTRIERE"
"001291","E047","VENAUS"
"001003","E048","ALA DI STURA"
"001019","E048","BALME"
"001054","E048","CANTOIRA"
"001072","E048","CERES"
"001075","E048","CHIALAMBERTO"
"001088","E048","COASSOLO TORINESE"
"001113","E048","GERMAGNANO"
"001118","E048","GROSCAVALLO"
"001131","E048","LEMIE"
"001152","E048","MEZZENILE"
"001155","E048","MONASTERO DI LANZO"
"001188","E048","PESSINETTO"
"001279","E048","TRAVES"
"001282","E048","USSEGLIO"
"001313","E048","VIU"
"001016","E049","BALANGERO"
"001046","E049","CAFASSE"
"001128","E049","LANZO TORINESE"
"001086","E050","CIRIE"
"001248","E050","SAN MAURIZIO CANAVESE"
"001021","E051","BARBANIA"
"001094","E051","CORIO"
"001109","E051","FRONT"
"001133","E051","LEVONE"
"001221","E051","ROCCA CANAVESE"
"001290","E051","VAUDA CANAVESE"
"001176","E052","OZEGNA"
"001217","E052","RIVAROLO CANAVESE"
"001043","E053","BUSANO"
"001052","E053","CANISCHIO"
"001098","E053","CUORGNE"
"001101","E053","FAVRIA"
"001107","E053","FORNO CANAVESE"
"001170","E053","OGLIANICO"
"001187","E053","PERTUSIO"
"001206","E053","PRASCORSANO"
"001207","E053","PRATIGLIONE"
"001216","E053","RIVARA"
"001218","E053","RIVAROSSA"
"001231","E053","SALASSA"
"001238","E053","SAN COLOMBANO BELMONTE"
"001251","E053","SAN PONSO"
"001287","E053","VALPERGA"
"001023","E054","BARONE CANAVESE"
"001047","E054","CALUSO"
"001050","E054","CANDIA CANAVESE"
"001083","E054","CICONIO"
"001106","E054","FOGLIZZO"
"001148","E054","MAZZE"
"001150","E054","MERCENASCO"
"001159","E054","MONTALENGHE"
"001161","E054","MONTANARO"
"001172","E054","ORIO CANAVESE"
"001244","E054","SAN GIORGIO CANAVESE"
"001246","E054","SAN GIUSTO CANAVESE"
"001304","E054","VILLAREGIA"
"001311","E054","VISCHE"
"001034","E055","BRANDIZZO"
"001082","E055","CHIVASSO"
"001225","E056","RONDISSONE"
"001273","E056","TORAZZA PIEMONTE"
"001293","E056","VEROLENGO"
"001037","E057","BROZOLO"
"001039","E057","BRUSASCO"
"001060","E057","CASALBORGONE"
"001064","E057","CASTAGNETO PO"
"001069","E057","CAVAGNOLO"
"001129","E057","LAURIANO"
"001162","E057","MONTEU DA PO"
"001253","E057","SAN SEBASTIANO DA PO"
"001294","E057","VERRUA SAVOIA"
"001007","E058","ALPETTE"
"001073","E058","CERESOLE REALE"
"001108","E058","FRASSINETTO"
"001121","E058","INGRIA"
"001134","E058","LOCANA"
"001165","E058","NOASCA"
"001199","E058","PONT CANAVESE"
"001212","E058","RIBORDONE"
"001224","E058","RONCO CANAVESE"
"001267","E058","SPARONE"
"001288","E058","VALPRATO SOANA"
"001001","E059","AGLIE"
"001015","E059","BAIRO"
"001029","E059","BORGIALLO"
"001066","E059","CASTELLAMONTE"
"001067","E059","CASTELNUOVO NIGRA"
"001079","E059","CHIESANUOVA"
"001084","E059","CINTANO"
"001091","E059","COLLERETTO CASTELNUOVO"
"001125","E060","IVREA"
"001004","E061","ALBIANO D IVREA"
"001014","E061","AZEGLIO"
"001027","E061","BOLLENGO"
"001031","E061","BORGOMASINO"
"001056","E061","CARAVINO"
"001095","E061","COSSANO CANAVESE"
"001143","E061","MAGLIONE"
"001177","E061","PALAZZO CANAVESE"
"001196","E061","PIVERONE"
"001264","E061","SETTIMO ROTTARO"
"001295","E061","VESTIGNE"
"001005","E062","ALICE SUPERIORE"
"001010","E062","ANDRATE"
"001017","E062","BALDISSERO CANAVESE"
"001036","E062","BROSSO"
"001057","E062","CAREMA"
"001096","E062","CUCEGLIO"
"001124","E062","ISSIGLIO"
"001138","E062","LUGNACCO"
"001151","E062","MEUGLIANO"
"001167","E062","NOMAGLIO"
"001182","E062","PECCO"
"001185","E062","PEROSA CANAVESE"
"001210","E062","QUINCINETTO"
"001230","E062","RUEGLIO"
"001247","E062","SAN MARTINO CANAVESE"
"001266","E062","SETTIMO VITTONE"
"001268","E062","STRAMBINELLO"
"001271","E062","TAVAGNASCO"
"001272","T000","TORINO"
"001120","C002","GRUGLIASCO"
"001090","C003","COLLEGNO"
"001292","C004","VENARIA"
"001028","C005","BORGARO TORINESE"
"001265","C006","SETTIMO TORINESE"
"001249","C007","SAN MAURO TORINESE"
"001192","C008","PINO TORINESE"
"001156","C009","MONCALIERI"
"001183","C010","PECETTO TORINESE"
"001164","C011","NICHELINO"
"001051","C012","CANDIOLO"
"001024","C013","BEINASCO"
"001171","C014","ORBASSANO"
"001214","C015","RIVALTA DI TORINO"
"001219","C016","RIVOLI"
"001008","C017","ALPIGNANO"
"001189","C018","PIANEZZA"
"001099","C019","DRUENTO"
"001130","C020","LEINI"
"001078","C021","CHIERI"
"001280","C022","TROFARELLO"
"001048","C023","CAMBIANO"
"001257","C024","SANTENA"
"001063","C064","CASELLE TORINESE"
"001314","C065","VOLPIANO"
"001018","C066","BALDISSERO TORINESE"
"001127","C067","LA LOGGIA"
"001058","C068","CARIGNANO"
"001309","C069","VINOVO"
"001193","C070","PIOBESI TORINESE"
"001194","C071","PIOSSASCO"
"001065","E025","CASTAGNOLE PIEMONTE"
"001136","E025","LOMBRIASCO"
"001174","E025","OSASIO"
"001178","E025","PANCALIERI"
"001310","E025","VIRLE PIEMONTE"
"001168","E026","NONE"
"001315","E026","VOLVERA"
"001053","E027","CANTALUPA"
"001097","E027","CUMIANA"
"001110","E027","FROSSASCO"
"001222","E027","ROLETTO"
"001038","E028","BRUINO"
"001089","E028","COAZZE"
"001115","E028","GIAVENO"
"001211","E028","REANO"
"001241","E028","SANGANO"
"001276","E028","TRANA"
"001285","E028","VALGIOIE"
"001302","E028","VILLARBASSE"
"001013","E030","AVIGLIANA"
"001045","E030","BUTTIGLIERA  ALTA"
"001228","E030","ROSTA"
"001062","E031","CASELETTE"
"001116","E031","GIVOLETTO"
"001126","E031","LA CASSA"
"001243","E031","SAN GILLIO"
"001284","E031","VAL DELLA TORRE"
"001104","E032","FIANO"
"001220","E032","ROBASSOMERO"
"001286","E032","VALLO TORINESE"
"001289","E032","VARISELLA"
"001033","E034","BOSCONERO"
"001102","E034","FELETTO"
"001135","E034","LOMBARDORE"
"001141","E034","LUSIGLIE"
"001236","E034","SAN BENIGNO CANAVESE"
"001068","E035","CASTIGLIONE TORINESE"
"001085","E035","CINZANO"
"001112","E035","GASSINO TORINESE"
"001213","E035","RIVALBA"
"001252","E035","SAN RAFFAELE CIMENA"
"001262","E035","SCIOLZE"
"001009","E036","ANDEZENO"
"001012","E036","ARIGNANO"
"001144","E036","MARENTINO"
"001153","E036","MONBELLO DI TORINO"
"001158","E036","MONTALDO TORINESE"
"001163","E036","MORIONDO TORINESE"
"001180","E036","PAVAROLO"
"001215","E036","RIVA PRESSO CHIERI"
"001123","E037","ISOLABELLA"
"001197","E037","POIRINO"
"001203","E037","PRALORMO"
"001059","E038","CARMAGNOLA"
"001308","E038","VILLASTELLONE"
"001002","E039","AIRASCA"
"001071","E039","CERCENASCO"
"001195","E039","PISCINA"
"001260","E039","SCALENGHE"
"001299","E039","VIGONE"
"001300","E039","VILLAFRANCA PIEMONTE"
"001191","E040","PINEROLO"
"001041","E041","BURIASCO"
"001070","E041","CAVOUR"
"001111","E041","GARZIGLIANA"
"001142","E041","MACELLO"
"001035","E042","BRICHERASIO"
"001049","E042","CAMPIGLIONE FENILE"
"001173","E042","OSASCO"
"001205","E042","PRAROSTINO"
