Cod_Mezzo,Tipo_mezzo,Modo
"01","Piedi","Altro"
"02","Moto/ciclomotore","Altro"
"03","Autoveicolo come conducente","Privato"
"04","Autoveicolo come passeggero","Privato"
"05","Taxi","Altro"
"06","Bus urbano suburbano e/o Tram GTT (TO e cintura)","Pubblico"
"07","Bus extraurbano GTT","Pubblico"
"08","Trasporto urbano (bus, filobus, tram, metropolitana) di altri Comuni e altre Città diverse da Torino","Pubblico"
"09","Bus extra urbano altro vettore","Pubblico"
"10","Bus aziendale","Pubblico"
"11","Scuolabus","Pubblico"
"12","Ferrovia Trenitalia","Pubblico"
"13","Ferrovia GTT (Canavesana, TO - Ceres  TO - Chieri)","Pubblico"
"15","Altro","Altro"
"16","Bicicletta personale","Altro"
"20","Bicicletta del sistema Bike Sharing","Altro"
"19","Metropolitana automatica GTT","Pubblico"
"21","Autoveicolo del sistema Car Sharing come conducente","Privato"
"22","Ferrovia altro vettore (TRENORD, SSIF, FART, SBB-CFF-FFS, SNCF, BLS)","Pubblico"
"23","Altro mezzo pubblico terrestre (funicolare, funivia)","Pubblico"
"24","Altro mezzo pubblico su acqua (battello, aliscafo)","Pubblico"
