COD_ZONA,nome_zona,COD_PROV,PROVINCIA,MACROAREA
"C002","CINTURA - GRUGLIASCO","001","Torino","Cintura"
"C003","CINTURA - COLLEGNO","001","Torino","Cintura"
"C004","CINTURA - VENARIA REALE","001","Torino","Cintura"
"C005","CINTURA - BORGARO TORINESE","001","Torino","Cintura"
"C006","CINTURA - SETTIMO TORINESE","001","Torino","Cintura"
"C007","CINTURA - SAN MAURO TORINESE","001","Torino","Cintura"
"C008","CINTURA - PINO TORINESE","001","Torino","Cintura"
"C009","CINTURA - MONCALIERI","001","Torino","Cintura"
"C010","CINTURA - PECETTO TORINESE","001","Torino","Cintura"
"C011","CINTURA - NICHELINO","001","Torino","Cintura"
"C012","CINTURA - CANDIOLO","001","Torino","Cintura"
"C013","CINTURA - BEINASCO","001","Torino","Cintura"
"C014","CINTURA - ORBASSANO","001","Torino","Cintura"
"C015","CINTURA - RIVALTA DI TORINO","001","Torino","Cintura"
"C016","CINTURA - RIVOLI","001","Torino","Cintura"
"C017","CINTURA - ALPIGNANO","001","Torino","Cintura"
"C018","CINTURA - PIANEZZA","001","Torino","Cintura"
"C019","CINTURA - DRUENTO","001","Torino","Cintura"
"C020","CINTURA ? LEINÌ","001","Torino","Cintura"
"C021","CINTURA - CHIERI","001","Torino","Cintura"
"C022","CINTURA - TROFARELLO","001","Torino","Cintura"
"C023","CINTURA - CAMBIANO","001","Torino","Cintura"
"C024","CINTURA - SANTENA","001","Torino","Cintura"
"C064","CINTURA - CASELLE TORINESE","001","Torino","Cintura"
"C065","CINTURA - VOLPIANO","001","Torino","Cintura"
"C066","CINTURA - BALDISSERO TORINESE","001","Torino","Cintura"
"C067","CINTURA - LA LOGGIA","001","Torino","Cintura"
"C068","CINTURA - CARIGNANO","001","Torino","Cintura"
"C069","CINTURA - VINOVO","001","Torino","Cintura"
"C070","CINTURA - PIOBESI TORINESE","001","Torino","Cintura"
"C071","CINTURA - PIOSSASCO","001","Torino","Cintura"
"E025","CASTAGNOLE PIEMONTE E COMUNI LIMITROFI","001","Torino","Resto Provincia"
"E026","NONE - VOLVERA","001","Torino","Resto Provincia"
"E027","CUMIANA E COMUNI LIMITROFI","001","Torino","Resto Provincia"
"E028","GIAVENO E VAL SANGONE","001","Torino","Resto Provincia"
"E030","AVIGLIANA E COMUNI LIMITROFI","001","Torino","Resto Provincia"
"E031","VAL DELLA TORRE E COMUNI LIMITROFI","001","Torino","Resto Provincia"
"E032","FIANO E COMUNI LIMITROFI","001","Torino","Resto Provincia"
