ID_INT,GENDER,AGE,MOTIVATION,ORI_ZONE,DEP_HOUR,DST_ZONE,ARR_HOUR
8139335,1,2,5,Q005,02/02/17 10:00:00,Q023,02/02/17 10:20:00
8139641,2,4,4,Q002,02/02/17 16:30:00,Q023,02/02/17 16:50:00
8139830,1,2,4,Q019,02/02/17 14:30:00,Q019,02/02/17 14:50:00
8140616,1,2,9,Q003,02/02/17 20:00:00,Q005,02/02/17 20:30:00
8140678,2,3,4,Q009,02/02/17 09:00:00,Q009,02/02/17 09:10:00
8140745,2,3,4,Q015,02/02/17 18:00:00,Q021,02/02/17 18:15:00
8140799,2,3,4,Q010,02/02/17 10:45:00,Q020,02/02/17 11:00:00
8141314,2,3,4,Q022,02/02/17 18:15:00,Q022,02/02/17 18:30:00
8141976,1,4,9,Q001,02/02/17 15:40:00,Q007,02/02/17 16:10:00
8142800,2,2,7,Q012,02/02/17 19:30:00,Q019,02/02/17 19:45:00
8143087,2,3,4,Q006,02/02/17 15:00:00,Q006,02/02/17 15:10:00
8143375,1,4,9,Q001,02/02/17 17:00:00,Q018,02/02/17 17:15:00
8146677,2,3,7,Q008,02/02/17 19:20:00,Q002,02/02/17 19:40:00
8147093,1,1,2,Q001,02/02/17 14:00:00,Q014,02/02/17 14:35:00
8147103,1,2,4,Q009,02/02/17 14:30:00,Q007,02/02/17 15:00:00
8148545,1,2,7,Q023,02/02/17 18:00:00,Q005,02/02/17 18:15:00
8148559,2,1,7,Q002,02/02/17 19:00:00,Q001,02/02/17 19:10:00
8148899,2,1,4,Q005,02/02/17 14:30:00,Q005,02/02/17 14:40:00
8149739,2,3,9,Q011,02/02/17 10:40:00,Q011,02/02/17 10:45:00
8149739,2,3,5,Q011,02/02/17 15:30:00,Q009,02/02/17 16:00:00
8149739,2,3,7,Q009,02/02/17 16:30:00,Q010,02/02/17 16:50:00
8149739,2,3,7,Q010,02/02/17 18:30:00,Q011,02/02/17 18:40:00
8150137,1,2,2,Q009,02/02/17 11:00:00,Q007,02/02/17 11:20:00
8150137,1,2,2,Q007,02/02/17 13:00:00,Q009,02/02/17 13:20:00
8150137,1,2,7,Q009,02/02/17 19:00:00,Q001,02/02/17 19:25:00
8150666,1,2,2,Q018,02/02/17 14:30:00,Q020,02/02/17 15:00:00
8318486,1,2,4,Q003,02/02/17 15:30:00,Q009,02/02/17 15:45:00
8319229,1,3,4,Q009,02/02/17 09:00:00,Q015,02/02/17 09:20:00
8319229,1,3,4,Q015,02/02/17 10:00:00,Q020,02/02/17 10:20:00
8319245,1,2,4,Q005,02/02/17 16:50:00,Q014,02/02/17 17:00:00
8320278,2,2,5,Q012,02/02/17 08:30:00,Q001,02/02/17 09:00:00
8320278,2,2,5,Q001,02/02/17 11:30:00,Q015,02/02/17 12:00:00
8322446,1,2,9,Q001,02/02/17 15:00:00,Q023,02/02/17 15:30:00
8322446,1,2,4,Q023,02/02/17 19:10:00,Q004,02/02/17 19:20:00
8322446,1,2,9,Q004,02/02/17 19:40:00,Q009,02/02/17 19:50:00
8339623,2,1,9,Q005,02/02/17 18:00:00,Q011,02/02/17 18:15:00
8339940,1,1,9,Q003,02/02/17 13:00:00,Q015,02/02/17 13:30:00
8340522,2,1,4,Q001,02/02/17 13:40:00,Q005,02/02/17 14:00:00
8341265,2,2,5,Q009,02/02/17 13:10:00,Q009,02/02/17 13:25:00
8343418,2,2,5,Q004,02/02/17 16:00:00,Q009,02/02/17 16:15:00
8344129,2,3,4,Q010,02/02/17 17:00:00,Q010,02/02/17 17:10:00
8344205,1,2,4,Q009,02/02/17 18:55:00,Q022,02/02/17 19:15:00
8344361,1,2,2,Q001,02/02/17 15:00:00,Q001,02/02/17 15:10:00
8344361,1,2,2,Q001,02/02/17 19:00:00,Q001,02/02/17 19:10:00
8344423,1,3,4,Q003,02/02/17 11:00:00,Q003,02/02/17 11:30:00
8344423,1,3,4,Q003,02/02/17 12:30:00,Q003,02/02/17 12:40:00
8344423,1,3,4,Q003,02/02/17 14:00:00,Q012,02/02/17 14:15:00
8344575,2,4,7,Q004,02/02/17 13:05:00,Q004,02/02/17 13:15:00
8346809,2,2,7,Q010,02/02/17 17:00:00,Q012,02/02/17 17:10:00
8362486,2,2,4,Q007,02/02/17 09:00:00,Q010,02/02/17 09:20:00
8362686,1,2,7,Q006,02/02/17 16:40:00,Q005,02/02/17 17:00:00
8362686,1,2,5,Q005,02/02/17 19:10:00,Q006,02/02/17 19:20:00
8362915,2,2,4,Q018,02/02/17 15:00:00,Q010,02/02/17 15:30:00
