id_veicolo,commerciale,eta_approx,genere
1,N,47,M
2,N,54,M
3,N,34,F
4,N,81,M
5,N,23,M
6,N,82,M
7,N,46,M
8,N,49,F
9,N,80,F
10,N,81,F
11,N,82,M
12,S,0,_
13,N,57,F
14,N,47,M
15,N,66,F
16,N,56,F
17,N,69,M
18,N,55,M
19,N,37,M
20,N,34,M
21,N,68,M
22,N,59,M
23,N,50,F
24,N,61,F
25,N,69,M
26,N,66,M
27,S,0,_
28,N,50,F
29,N,59,F
30,N,64,M
31,N,66,F
32,N,72,M
33,N,84,M
34,N,65,M
35,N,60,M
36,N,80,M
37,N,37,M
38,S,0,_
39,N,54,F
40,N,38,M
41,N,30,M
42,N,51,M
43,N,57,F
44,N,56,F
45,N,77,M
46,S,0,_
47,N,85,M
48,N,59,F
49,N,71,M
50,N,65,M
51,N,76,M
52,N,76,F
53,N,44,F
54,N,64,M
55,N,67,M
56,N,47,M
57,N,77,M
58,N,83,M
59,N,68,F
60,N,42,M
61,N,68,M
62,N,69,F
63,N,50,F
64,N,43,M
65,N,53,F
66,N,54,M
67,N,83,M
68,N,26,F
69,N,72,F
70,N,33,M
71,N,58,F
72,N,62,F
73,N,47,M
74,N,61,F
75,S,0,_
76,N,62,M
77,N,63,F
78,N,61,F
79,N,57,F
80,N,60,M
81,N,58,M
82,N,52,M
83,N,53,M
84,N,49,M
85,N,81,F
86,N,58,M
87,N,60,M
88,N,22,M
89,N,40,M
90,N,48,M
91,N,46,M
92,N,76,F
93,N,48,F
94,S,0,_
95,N,56,M
96,S,0,_
97,N,49,M
98,S,0,_
99,N,49,M
100,N,41,F
101,N,73,F
102,N,27,F
103,N,84,M
104,N,60,M
105,N,72,M
106,N,56,M
107,N,64,M
108,N,39,M
109,N,63,M
110,N,28,M
111,N,76,F
112,N,25,F
113,S,0,_
114,N,34,F
115,N,57,F
116,N,53,M
117,N,71,F
118,N,48,M
119,N,74,M
120,N,74,F
121,S,0,_
122,N,79,M
123,N,39,F
124,N,69,F
125,N,66,F
126,N,57,M
127,N,90,M
128,N,62,F
129,N,77,M
130,N,71,F
131,N,80,M
132,N,39,M
133,S,0,_
134,N,76,M
135,N,39,M
136,N,26,M
137,S,0,_
138,N,60,F
139,N,59,F
140,N,77,M
141,N,33,M
142,N,36,M
143,N,69,F
144,N,54,M
145,N,68,M
146,N,62,M
147,N,62,F
148,N,52,F
149,N,73,M
150,N,64,M
151,N,48,F
152,N,49,M
153,N,65,F
154,S,0,_
155,N,31,F
156,N,41,F
157,N,45,F
158,N,47,M
159,N,68,F
160,N,77,M
161,N,85,F
162,N,22,F
163,N,36,M
164,N,38,F
165,N,57,F
166,N,55,F
167,N,38,M
168,N,61,M
169,N,69,F
170,N,74,M
171,N,64,M
172,N,50,F
173,N,63,F
174,N,63,M
175,N,61,M
176,N,93,M
177,N,85,M
178,N,74,M
179,S,0,_
180,N,52,F
181,N,54,M
182,N,53,M
183,N,71,M
184,N,57,F
185,N,36,M
186,N,46,M
187,N,72,M
188,N,54,F
189,N,48,M
190,N,70,F
191,N,66,M
192,N,64,M
193,N,56,M
194,N,62,M
195,N,76,M
196,N,80,M
197,N,65,M
198,S,0,_
199,N,44,F
200,N,61,F
201,N,61,F
202,N,58,M
203,N,72,F
204,N,28,M
205,N,51,M
206,N,28,M
207,N,50,F
208,N,76,M
209,N,63,M
210,N,64,F
211,N,73,M
212,N,64,M
213,N,47,F
214,N,70,F
215,N,56,F
216,N,81,M
217,N,30,M
218,N,65,M
219,N,77,M
220,N,63,M
221,N,25,M
222,N,30,F
223,N,68,M
224,N,64,M
225,N,64,M
226,S,0,_
227,N,41,F
228,N,88,M
229,N,55,F
230,S,0,_
231,S,0,_
232,N,50,M
233,N,82,F
234,N,53,M
235,N,88,M
236,N,53,M
237,N,81,F
238,N,55,M
239,N,57,F
240,S,0,_
241,N,80,M
